Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
"CARS","Cars.com Inc.","22","$1.57B","2017","Technology","EDP Services","http://www.nasdaq.com/symbol/cars",
"CRI","Carter&#39;s, Inc.","99.27","$4.7B","2003","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/cri",
"CRTN","Cartesian, Inc.","0.244","$2.19M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/crtn",
"CVNA","Carvana Co.","14.66","n/a","2017","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/cvna",
"CARV","Carver Bancorp, Inc.","2.21","$8.17M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/carv",
"CASM","CAS Medical Systems, Inc.","0.7659","$21.63M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/casm",
"CASC","Cascadian Therapeutics, Inc.","4.12","$208.28M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/casc",
"CWST","Casella Waste Systems, Inc.","19.22","$807.94M","1997","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/cwst",
"CASY","Caseys General Stores, Inc.","113.96","$4.32B","1983","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/casy",
"CASI","CASI Pharmaceuticals, Inc.","2.56","$174.46M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/casi",
"CASS","Cass Information Systems, Inc","62.98","$705.62M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cass",
"ROX","Castle Brands, Inc.","1.16","$190.59M","2006","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/rox",
"CSLT","Castlight Health, inc.","3.75","$501.52M","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/cslt",
"CATB","Catabasis Pharmaceuticals, Inc.","1.82","$40.92M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/catb",
"CTLT","Catalent, Inc.","39.94","$5.3B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctlt",
"CBIO","Catalyst Biosciences, Inc. ","4.58","$19.74M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbio",
"CPRX","Catalyst Pharmaceuticals, Inc.","2.99","$252.82M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cprx",
"CATS","Catasys, Inc.","3.59","$57.04M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/cats",
"CTT           ","CatchMark Timber Trust, Inc.","12.88","$559.3M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ctt",
"CAT","Caterpillar, Inc.","137.29","$81.68B","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/cat",
"CATY","Cathay General Bancorp","39.83","$3.22B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/caty",
"CATYW","Cathay General Bancorp","21.11","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/catyw",
"CATO","Cato Corporation (The)","12.77","$324.86M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cato",
"CVCO","Cavco Industries, Inc.","147.1","$1.33B","n/a","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/cvco",
"CAVM","Cavium, Inc.","76.83","$5.28B","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/cavm",
"CBFV","CB Financial Services, Inc.","29.5065","$120.62M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbfv",
"CBAK","CBAK Energy Technology, Inc.","1.9","$49.82M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cbak",
"CBZ","CBIZ, Inc.","15.1","$827.77M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cbz",
"CBL","CBL & Associates Properties, Inc.","5.5","$941.03M","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cbl",
"CBL^D","CBL & Associates Properties, Inc.","22.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbl^d",
"CBL^E","CBL & Associates Properties, Inc.","22.37","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbl^e",
"CBO","CBO (Listing Market - NYSE - Networks A/E)","18.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbo",
"CBOE","Cboe Global Markets, Inc.","113.42","$12.79B","2010","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cboe",
"IGR","CBRE Clarion Global Real Estate Income Fund","7.83","$912.9M","2004","n/a","n/a","http://www.nasdaq.com/symbol/igr",
"CBG","CBRE Group, Inc.","41","$13.86B","2004","Finance","Real Estate","http://www.nasdaq.com/symbol/cbg",
"CBS","CBS Corporation","57.25","$22.99B","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cbs",
"CBS.A","CBS Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbs.a",
"CBTX","CBTX, Inc.","28.71","n/a","2017","n/a","n/a","http://www.nasdaq.com/symbol/cbtx",
"CBX","CBX (Listing Market NYSE Networks AE","1.05","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbx",
"CAW","CCA Industries, Inc.","2.95","$20.67M","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/caw",
"CDK","CDK Global, Inc.","63.61","$8.75B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cdk",
"CDW","CDW Corporation","67.85","$10.51B","2013","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/cdw",
"CECE","CECO Environmental Corp.","5.7","$197.45M","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/cece",
"FUN","Cedar Fair, L.P.","66.69","$3.75B","1987","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/fun",
"CDR","Cedar Realty Trust, Inc.","5.83","$532.39M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cdr",
"CDR^B","Cedar Realty Trust, Inc.","25.586","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cdr^b",
"CDR^C","Cedar Realty Trust, Inc.","25.15","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cdr^c",
"CGI","Celadon Group, Inc.","7.35","$208M","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cgi",
"CE","Celanese Corporation","106.28","$14.42B","2005","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ce",
"CELC","Celcuity Inc.","20.29","$197.26M","2017","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/celc",
"CLS","Celestica, Inc.","10.36","$1.3B","1998","Technology","Electrical Products","http://www.nasdaq.com/symbol/cls",
"CELG","Celgene Corporation","101.65","$80.03B","1987","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celg",
"CELGZ","Celgene Corporation","1.05","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celgz",
"CEL","Cellcom Israel, Ltd.","9.4795","$954.03M","2007","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cel",
"CLDX","Celldex Therapeutics, Inc.","2.75","$352.94M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/cldx",
"APOP","Cellect Biotechnology Ltd.","8.21","$44.84M","2016","n/a","n/a","http://www.nasdaq.com/symbol/apop",
"APOPW","Cellect Biotechnology Ltd.","1.8537","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/apopw",
"CLRB","Cellectar Biosciences, Inc.","1.56","$24.67M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrb",
"CLRBW","Cellectar Biosciences, Inc.","0.147","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrbw",
"CLRBZ","Cellectar Biosciences, Inc.","0.699","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrbz",
"CLLS","Cellectis S.A.","25.67","$920.58M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/clls",
"CBMG","Cellular Biomedicine Group, Inc.","10.3","$145.32M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cbmg",
"CVM","Cel-Sci Corporation","1.67","$16.84M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cvm",
"CVM.WS","Cel-Sci Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cvm.ws",
"CLSN","Celsion Corporation","1.81","$29.07M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clsn",
"CELH","Celsius Holdings, Inc.","5.53","$250.73M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/celh",
"CYAD","Celyad SA","55.74","$549.71M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cyad",
"CPAC","Cementos Pacasmayo S.A.A.","12.86","$1.1B","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cpac",
"CX","Cemex S.A.B. de C.V.","8.18","$11.91B","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cx",
"CETX","Cemtrex Inc.","2.78","$28.49M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cetx",
"CETXP","Cemtrex Inc.","5.67","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cetxp",
"CETXW","Cemtrex Inc.","0.38","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cetxw",
"CVE","Cenovus Energy Inc","11.37","$13.97B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cve",
"CNC","Centene Corporation","93.15","$16.07B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/cnc",
"CDEV","Centennial Resource Development, Inc.","20.03","$5.52B","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cdev",
"CEN","Center Coast MLP & Infrastructure Fund","9.95","$217.04M","2013","n/a","n/a","http://www.nasdaq.com/symbol/cen",
"CNP","CenterPoint Energy, Inc.","29.95","$12.91B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cnp",
"CSFL","CenterState Bank Corporation","25.8","$1.55B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/csfl",
"EBR","Centrais Electricas Brasileiras S.A.- Eletrobras","6.55","$8.86B","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ebr",
"EBR.B","Centrais Electricas Brasileiras S.A.- Eletrobras","n/a","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/ebr.b",
"CETV","Central European Media Enterprises Ltd.","4.45","$644.56M","1994","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cetv",
"CFBK","Central Federal Corporation","2.4798","$57.38M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cfbk",
"CEF","Central Fund of Canada Limited","13.27","$3.35B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cef",
"CENT","Central Garden & Pet Company","35.73","$1.85B","1993","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/cent",
"CENTA","Central Garden & Pet Company","34.68","$1.8B","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/centa",
"CET","Central Securities Corporation","27.18","$674.37M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cet",
"CVCY","Central Valley Community Bancorp","19.28","$260.13M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cvcy",
"LEU","Centrus Energy Corp.","4.695","$42.44M","2014","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/leu",
"CENX","Century Aluminum Company","14.71","$1.28B","1996","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/cenx",
"CNBKA","Century Bancorp, Inc.","83.25","$463.53M","1987","Finance","Major Banks","http://www.nasdaq.com/symbol/cnbka",
"CNTY","Century Casinos, Inc.","8.99","$219.97M","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cnty",
"CCS","Century Communities, Inc.","28.8","$783.06M","2014","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/ccs",
"CTL","CenturyLink, Inc.","16.26","$8.94B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctl",
"CVO","Cenveo Inc","1.206","$10.35M","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cvo",
"CRNT","Ceragon Networks Ltd.","1.77","$137.96M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/crnt",
"CERC","Cerecor Inc.","1.06","$27.62M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cerc",
"CERCW","Cerecor Inc.","0.04","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cercw",
"CERN","Cerner Corporation","66.28","$22.03B","1986","Technology","EDP Services","http://www.nasdaq.com/symbol/cern",
"CERS","Cerus Corporation","3.48","$379.8M","1997","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cers",
"KOOL","Cesca Therapeutics Inc.","3.62","$36.05M","n/a","Capital Goods","Medical Specialities","http://www.nasdaq.com/symbol/kool",
"CEVA","CEVA, Inc.","46.6","$1.02B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ceva",
"CFCO","CF Corporation","10.17","$854.28M","2016","Finance","Life Insurance","http://www.nasdaq.com/symbol/cfco",
"CFCOU","CF Corporation","10.84","n/a","2016","Finance","Life Insurance","http://www.nasdaq.com/symbol/cfcou",
"CFCOW","CF Corporation","1.7663","n/a","2016","Finance","Life Insurance","http://www.nasdaq.com/symbol/cfcow",
"CF","CF Industries Holdings, Inc.","37.78","$8.81B","2005","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/cf",
"CGG","CGG","4.76","$105.35M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cgg",
"GIB","CGI Group, Inc.","52.13","$13.25B","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/gib",
"CSBR","Champions Oncology, Inc.","3.21","$35.26M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/csbr",
"CYOU","Changyou.com Limited","37.61","$1.97B","2009","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyou",
"ECOM          ","ChannelAdvisor Corporation","8.55","$225.99M","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ecom",
"HOTR","Chanticleer Holdings, Inc.","2.09","$5.23M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/hotr",
"CTHR","Charles & Colvard Ltd.","1.03","$22.28M","1997","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/cthr",
"CRL","Charles River Laboratories International, Inc.","117.8","$5.61B","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/crl",
"GTLS","Chart Industries, Inc.","45.1","$1.39B","2006","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gtls",
"CHTR","Charter Communications, Inc.","337.9","$84.01B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/chtr",
"CHFN","Charter Financial Corp.","17.59","$265.83M","2010","Finance","Savings Institutions","http://www.nasdaq.com/symbol/chfn",
"CCF","Chase Corporation","121.2","$1.13B","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ccf",
"CLDT","Chatham Lodging Trust (REIT)","22.95","$926.54M","2010","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cldt",
"CHKP","Check Point Software Technologies Ltd.","105.36","$17.49B","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/chkp",
"CHEK","Check-Cap Ltd.","1.34","$22.75M","2015","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/chek",
"CHEKW","Check-Cap Ltd.","0.478","n/a","2015","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/chekw",
"CKPT","Checkpoint Therapeutics, Inc.","5.26","$133.44M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ckpt",
"CMCM","Cheetah Mobile Inc.","11.4","$1.64B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cmcm",
"CHGG","Chegg, Inc.","14.14","$1.53B","2013","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/chgg",
"CEMI","Chembio Diagnostics, Inc.","6.25","$76.93M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cemi",
"CHE","Chemed Corp.","232.79","$3.72B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/che",
"CHFC","Chemical Financial Corporation","51.56","$3.67B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/chfc",
"CCXI","ChemoCentryx, Inc.","7.77","$378.45M","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ccxi",
"CC","Chemours Company (The)","51.01","$9.43B","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cc",
"CHMG","Chemung Financial Corp","48.19","$228.32M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/chmg",
"CQH","Cheniere Energy Partners LP Holdings, LLC","26.98","$6.25B","2013","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqh",
"CQP","Cheniere Energy Partners, LP","28.25","$13.67B","2007","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqp",
"LNG","Cheniere Energy, Inc.","50.43","$11.99B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/lng",
"CHKE","Cherokee Inc.","1.85","$25.81M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/chke",
"CHMI","Cherry Hill Mortgage Investment Corporation","18.02","$229.01M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/chmi",
"CHMI^A","Cherry Hill Mortgage Investment Corporation","25.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/chmi^a",
"CHK","Chesapeake Energy Corporation","3.97","$3.61B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chk",
"CHK^D","Chesapeake Energy Corporation","52.01","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/chk^d",
"CHKR","Chesapeake Granite Wash Trust","2.175","$101.68M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chkr",
"CHSP","Chesapeake Lodging Trust","28.23","$1.7B","2010","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/chsp",
"CPK","Chesapeake Utilities Corporation","80.15","$1.31B","n/a","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/cpk",
"CVX","Chevron Corporation","116.67","$221.6B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvx",
"CHFS","CHF Solutions, Inc.","4.97","$155516.27","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/chfs",
"CHMA","Chiasma, Inc.","2","$48.72M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/chma",
"CBI","Chicago Bridge & Iron Company N.V.","16.96","$1.72B","1997","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cbi",
"CVR","Chicago Rivet & Machine Co.","30.4511","$29.42M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr",
"CSSE","Chicken Soup for the Soul Entertainment, Inc.","8.71","$30.46M","2017","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/csse",
"CHS","Chico&#39;s FAS, Inc.","7.42","$952.09M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/chs",
"PLCE","Children&#39;s Place, Inc. (The)","112.65","$1.99B","1997","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/plce",
"CIM","Chimera Investment Corporation","17.93","$3.37B","2007","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cim",
"CIM^A","Chimera Investment Corporation","26.37","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cim^a",
"CIM^B","Chimera Investment Corporation","25.99","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cim^b",
"CMRX","Chimerix, Inc.","4.83","$227.23M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cmrx",
"CADC","China Advanced Construction Materials Group, Inc.","2.0748","$4.95M","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cadc",
"CALI","China Auto Logistics Inc.","2.86","$11.54M","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/cali",
"CAAS","China Automotive Systems, Inc.","5.1101","$161.7M","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/caas",
"CBPO","China Biologic Products Holdings, Inc.","87.42","$2.41B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","1.63","$5.2M","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cccl",
"CCCR","China Commercial Credit, Inc.","3.16","$58.68M","2013","Finance","Major Banks","http://www.nasdaq.com/symbol/cccr",
"CO","China Cord Blood Corporation","11.02","$1.33B","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/co",
"CCRC","China Customer Relations Centers, Inc.","13.48","$247.08M","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ccrc",
"DL","China Distance Education Holdings Limited","8.48","$279.53M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/dl",
"CEA","China Eastern Airlines Corporation Ltd.","25.11","$7.27B","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cea",
"JRJC","China Finance Online Co. Limited","2.16","$51.02M","2004","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/jrjc",
"CHN","China Fund, Inc. (The)","21.72","$341.5M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/chn",
"CGA","China Green Agriculture, Inc.","1.24","$47.8M","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/cga",
"HGSH","China HGS Real Estate, Inc.","1.25","$56.31M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/hgsh",
"CNIT","China Information Technology, Inc.","1.36","$54.71M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnit",
"CIFS","China Internet Nationwide Financial Services Inc.","48.44","$1.11B","2017","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/cifs",
"CJJD","China Jo-Jo Drugstores, Inc.","1.51","$38.07M","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cjjd",
"CLDC","China Lending Corporation","3.9","$92.66M","2014","Finance","Diversified Financial Services","http://www.nasdaq.com/symbol/cldc",
"LFC","China Life Insurance Company Limited","17.41","$98.42B","2003","Finance","Life Insurance","http://www.nasdaq.com/symbol/lfc",
"HTHT","China Lodging Group, Limited","127.8","$9.08B","2010","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/htht",
"CHL","China Mobile (Hong Kong) Ltd.","51.08","$209.18B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/chl",
"CHNR","China Natural Resources, Inc.","2.3001","$57.3M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/chnr",
"BORN","China New Borun Corporation","1.36","$34.99M","2010","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/born",
"COE","China Online Education Group","13.269","$266.12M","2016","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/coe",
"SNP","China Petroleum & Chemical Corporation","74.84","$90.61B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/snp",
"CPHI","China Pharma Holdings, Inc.","0.1847","$8.05M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphi",
"XRF","China Rapid Finance Limited","7.39","$478.17M","2017","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/xrf",
"CREG","China Recycling Energy Corporation","1.27","$10.55M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
"ZNH","China Southern Airlines Company Limited","37.22","$7.51B","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/znh",
"CNTF","China TechFaith Wireless Communication Technology Limited","2.21","$23.4M","2005","n/a","n/a","http://www.nasdaq.com/symbol/cntf",
"CHA","China Telecom Corp Ltd","50.23","$40.65B","2002","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cha",
"CHU","China Unicom (Hong Kong) Ltd","15.14","$36.26B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/chu",
"CXDC","China XD Plastics Company Limited","4.85","$240.13M","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cxdc",
"XNY","China Xiniya Fashion Limited","1.21","$17.22M","2010","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/xny",
"CYD","China Yuchai International Limited","22.19","$903.4M","1994","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cyd",
"ZX","China Zenix Auto International Limited","1.1","$56.79M","2011","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/zx",
"CCIH","ChinaCache International Holdings Ltd.","1.03","$25.75M","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","1.14","$14.07M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES INC.","19.77","$846.75M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/imos",
"CMG","Chipotle Mexican Grill, Inc.","273.9","$7.73B","2006","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/cmg",
"CHH","Choice Hotels International, Inc.","73.45","$4.15B","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/chh",
"CBK","Christopher & Banks Corporation","1.19","$45.05M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cbk",
"CDXC","ChromaDex Corporation","4.77","$229.24M","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cdxc",
"CHSCL","CHS Inc","28.52","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscl",
"CHSCM","CHS Inc","27.12","$515.28M","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscm",
"CHSCN","CHS Inc","27.7","$465.36M","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscn",
"CHSCO","CHS Inc","28.9212","$327.36M","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chsco",
"CHSCP","CHS Inc","29.97","$216.75M","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscp",
